openalexid,value,key
W3162053283,[],Other
W4312327781,N/A,N/A
W3212911837,"['ProteoGAN', 'Generative adversarial networks']",Data-Centric AI
W3161372052,"['online sequential Extreme Learning Machine', 'side scan sonar', 'echo intensity', 'Gaussian-type morphological templates', 'envelope demodulation', 'zero-crossing rate', 'cross-correlation', 'morphological parameters']",Data-Centric AI
W3199511737,N/A,N/A
W4205815345,['IoT sensor analytics (LSTM-based)'],Data-Centric AI
W3209491485,"['machine learning', 'Z-RAYS system construction', 'anomaly detection', 'early warnings']",Data-Centric AI
W3211038979,[],Data-Centric AI
W3124710153,['coalescent time estimation'],Predictive AI
W3161769927,[],Predictive AI
W3140860953,"['Unsupervised machine learning', 'Feature elimination', 'Biomarkers', 'Transcriptome data']",Data-Centric AI
W3206837001,"['AI platform', 'SMS', 'Interactive Voice Response (IVRs)', 'Qualitative part', 'focus group discussions', 'Lady Health Supervisors', 'WOH staff']",Decision-Support AI
W3187180319,"['spiking recurrent neural network', 'ECG anomaly detection']",Decision-Support AI
W3209233177,"['Markov random field', 'topology identification', 'joint probability distribution']",Decision-Support AI
W4285528576,"['STEM-education', 'educational process', 'teaching methods', 'natural sciences']",Decision-Support AI
W3208401743,"['Deep Neural Network', 'Satellite imagery', 'Air temperature retrieval', '11- and 12-µm bands', 'Normalized Difference Vegetation Index', 'Normalized Difference Water Index']",Data-Centric AI
W3136191249,"['decision tree classifiers', 'ensemble methods implementing bagging and boosting']",Predictive AI
W4226420480,['reinforcement learning'],Decision-Support AI
W3186712802,[],Other
W3146639552,"['forest fragmentation', 'biodiversity', 'aggregation index (AI)', 'distance dependent function', 'sample size', 'pair point distances']",Decision-Support AI
W3195236819,[],Data-Centric AI
W3196676340,"['multiple logistic regression', 'machine learning approaches', 'risk modeling']",Predictive AI
W3206668581,"['IoT', 'signal analysis', 'big data knowledge mining']",Data-Centric AI
W3199842571,"['natural language processing', 'text analysis']",Data-Centric AI
W3197472712,[],Other
W3138254675,"['regression tree', 'clustering']",Data-Centric AI
W4287019655,"['proper orthogonal decompositions', 'convolutional autoencoders', 'nonlinear dimension reduction']",Data-Centric AI
W4306315146,[],Other
W4206538724,[],Other
W4205576863,"['international business deals', 'survey responses', 'emotionality', 'rationality', 'qualitative factors', 'quantitative indicators']",Decision-Support AI
W3217387551,['non-invasive communication sensors'],Data-Centric AI
W3198963649,"['TextImager', 'Natural Language Processing', 'preprocessing', 'linking to databases', 'filter search results', 'download article metadata', 'text annotations', 'database links', 'scientific taxon names', 'GBIF Backbone Taxonomy', 'trait enrichment']",Data-Centric AI
W3199408877,[],Other
W3194449863,"['ANN', 'GIS', 'spatial distribution']",Predictive AI
W3209055820,[],Data-Centric AI
W3210973623,"['knowledge graph construction', 'text data collection', 'entity labeling', 'attribute extraction']",Data-Centric AI
W4225866721,"['IoT', 'Artificial Intelligence']",Data-Centric AI
W3132442406,['Mastermind'],Decision-Support AI
W4226083880,"['machine learning', 'ensemble']",Predictive AI
W3157475072,[],Other
W3132701638,[],Decision-Support AI
W3216359400,"['GA-BP neural network', 'pollution flashover voltage', 'soluble contaminant density', 'non-soluble deposit density', 'CaSO4 mass fraction', 'temperature']",Predictive AI
W3214945199,"['predictive models', 'weather factors', 'Varroa destructor infestations']",Predictive AI
W3136896771,"['BERT embeddings', 'supervised classification', 'topic modelling']",Decision-Support AI
W3216771059,[],Other
W4234251063,['Transformer-based'],Predictive AI
W4213289209,"['classification models', 'verification systems', 'automated predictions']",Decision-Support AI
W3211817935,N/A,N/A
W4286891018,[],Other
W3121506455,[],Other
W4200295589,['Carbon credit allocation systems'],Decision-Support AI
W3133634232,[],Other
W3180765026,[],Other
W3194788154,['machine learning'],Predictive AI
W4200388780,[],Other
W3118991685,"['Ridge regression', 'Lasso regression', 'Random Forests', 'Extra Trees']",Predictive AI
W3195997624,"['machine learning-based model', 'policy', 'market structure', 'investment patterns', 'renewable energy', 'fossil fuels']",Decision-Support AI
W4200115333,"['neural network model', 'GIS', 'comprehensive index method']",Predictive AI
W3197311467,"['high-throughput colorimetric screen', 'random forest classifier']",Data-Centric AI
W4235312136,"['time-series signal classification', 'binary classification', 'Support Vector Machines', 'Gaussian Mixture Model', 'Fisher Kernels']",Predictive AI
W3185806893,"['SVM-based face recognition model', 'Haar-cascade classifier']",Predictive AI
W3120116863,N/A,N/A
W3189695609,['UcFTAI'],Decision-Support AI
W3130318637,[],Other
W3202450367,"['machine learning approaches', 'gene interplay for phenotypes involving multiple genes', 'hypothesis generation']",Decision-Support AI
W4285557734,[],Other
W3172437843,"['VAR', 'TSRVFs', 'PCA-based dimension reduction', 'CNN']",Predictive AI
W3169892447,['LSTM'],Predictive AI
W3152853897,"['convolutional neural networks', 'image processing']",Predictive AI
W4205861975,[],Data-Centric AI
W3203072636,['neural network forecasting'],Predictive AI
W3174500934,N/A,N/A
W3195177795,"['Balanced Growth (BGrowth)', 'Fast Clever Segmentation', 'Estimation of ANnotated Slices']",Data-Centric AI
W3198579139,[],Other
W3206981696,"['machine learning', 'deep learning', 'cognitive computer', 'GANs', 'synthetic data creation']",Data-Centric AI
W3168732667,[],Other
W3134295791,"['random forest', 'zOTUs mapping', 'macroinvertebrate indicator groups']",Predictive AI
W4287023793,"['reinforcement learning', 'ecosystem modeling', 'reflex networks', 'policy network']",Decision-Support AI
W4205807739,['Artificial Neural Network (ANN)'],Predictive AI
W3141552841,N/A,N/A
W3181854591,"['Early Warning Signals', 'Critical Slowing Down', 'Recurrence Plots', 'Multivariate Data', 'Complex Networks', 'Machine Learning']",Data-Centric AI
W3192417882,[],Other
W3214546706,N/A,N/A
W3082444109,"['government decision-making', 'expert systems', 'machine learning']",Decision-Support AI
W3168901904,"['machine learning', 'predictive modeling']",Predictive AI
W4206368285,N/A,N/A
W3136460364,"['artificial neural network (ANN)', 'regression', 'classification']",Predictive AI
W3175162154,"['artificial intelligence for ecosystem services', 'Co$ting Nature/Waterworld']",Decision-Support AI
W3200658265,N/A,N/A
W3175998305,N/A,N/A
W3203267691,"['dance specific questionnaire', 'online tracking of menstrual cycle', 'wellbeing and training metrics', 'blood testing']",Data-Centric AI
W3212096231,"['Cox proportional survival hazard model', 'Bayesian Cox model']",Predictive AI
W4287330883,['image transformation'],Data-Centric AI
W4206021049,"['miR-21 target genes', 'reporter gene assays', 'over-representation analysis', 'neural network analyses', 'protein-protein interactions']",Predictive AI
W3204846619,"['Smooth Particle Hydrodynamics (SPH)', 'artificial neural network (ANN)', 'Multiple Linear Regression Analysis (MRA)', 'data augmentation']",Predictive AI
W4286857394,['LSTM-based'],Predictive AI
W3199566850,"['ANN', 'qPCR analysis', 'ann']",Predictive AI
W3186380819,"['Principal Component Analysis (PCA)', 'Sequential Floating Forward Selection (SFFS)', 'Support Vector Machines (SVM)', 'Artificial Neural Networks (ANN)']",Predictive AI
W3204437061,N/A,N/A
W4293754895,"['graph-based deep learning', 'ProDAR']",Predictive AI
W4287115867,['CNNs'],Data-Centric AI
W3119358962,[],Data-Centric AI
W3183220224,['random forest regression'],Predictive AI
W3212270772,N/A,N/A
W3199424483,['artificial neural networks (ANN)'],Predictive AI
W3176941047,"['Artificial Neural Networks (ANN)', 'groundwater quality', 'pollution source determinants']",Predictive AI
W3197163128,"['convolutional neural networks', 'non-destructive testing']",Data-Centric AI
W4389634892,[],Decision-Support AI
W3133936414,"['IoT sensor analytics', 'network positioning', 'early warning systems']",Data-Centric AI
W3175732677,"['Convolutional denoising autoencoder', 'Long-Short Term Memory Artificial Neural Network (CDAE-LSTM) hybrid model', 'Parameter migration']",Data-Centric AI
W3198292085,['NLP'],Data-Centric AI
W3138103576,"['IoT sensor analytics', 'network intrusion detection']",Data-Centric AI
W4286859881,"['Explainable AI', 'Instruction from AI', 'Human-AI collaboration', 'Strategy improvement']",Decision-Support AI
W3197779320,"['big data', 'intelligent three-prevention system']",Decision-Support AI
W3168804435,"['machine learning', 'neural network', 'forecasting']",Predictive AI
W3189086523,N/A,N/A
W4286977261,[],Data-Centric AI
W3215367627,"['unsupervised sequence embedding', 'deep convolutional neural network']",Predictive AI
W3175890756,"['CNNs', 'image processing']",Predictive AI
W4312994380,['early-stage detection systems'],Data-Centric AI
W4225725285,"['machine learning-based natural language processing', 'text classification']",Decision-Support AI
W3164496114,N/A,N/A
W3137462965,N/A,N/A
W4404117917,[],Other
W3197295565,"['Artificial Neural Networks', 'Streamflow Forecast', 'Climatic Indices', 'Sea Surface Temperature']",Predictive AI
W4286903874,N/A,N/A
W4200051288,['AI approaches capable of supporting decision making'],Decision-Support AI
W4200019651,"['numerical weather prediction', 'neural network']",Predictive AI
W4285539363,['underwriting'],Decision-Support AI
W3201921748,N/A,N/A
W3185448089,"['artificial neural network technologies', 'optimal control methods']",Decision-Support AI
W3169665436,[],Other
W4303413461,"['end-to-end convolutional neural network', 'image data', 'pixel-wise visibility']",Data-Centric AI
W3134731029,"['regression', 'neural networks']",Data-Centric AI
W3175922522,N/A,N/A
W3162094017,"['LSTM', 'GRU']",Predictive AI
W4200314480,['reinforcement learning'],Decision-Support AI
W4200347571,[],Data-Centric AI
W3217286047,[],Other
W4390171481,[],Other
W3203630047,"['Convolutional neural network', 'Digital radiography', 'Image processing', 'Rock mechanics', 'Water-rock coupling']",Predictive AI
W4200337393,[],Other
W3138010945,['AI models'],Predictive AI
W3199363727,[],Decision-Support AI
W3175204717,"['deep learning technique', 'gated recurrent unit', 'time-series prediction']",Predictive AI
W3164057363,"['neural networks', 'liquid extraction recovery']",Predictive AI
W3163404691,"['biomanufacturing industry', 'AI', 'educational initiative', 'STEM Biopharma Training (SBT) program']",Decision-Support AI
W3161816669,[],Other
W3191665204,"['CNNs', 'sequence modeling', 'spatial glyph features', 'word embeddings']",Data-Centric AI
W3203808179,"['cloud computing', 'artificial intelligence', 'big data technology']",Decision-Support AI
W4253500299,[],Other
W3206391157,['CLIP'],Data-Centric AI
W3160962914,"['3D CNN', 'LSTM networks']",Data-Centric AI
W4360927126,"['Support Vector Regression', 'Multi-Layer Perceptron']",Predictive AI
W3153543931,[],Other
W3198002669,['convolutional neural networks'],Decision-Support AI
W3204679550,[],Data-Centric AI
W3205080114,['modified denoising autoencoder'],Data-Centric AI
W4246872364,[],Other
W3150992744,N/A,N/A
W4303959323,[],Other
W4253992204,[],Other
W3158070522,['natural language processing'],Data-Centric AI
W3183816216,[],Data-Centric AI
W3120071092,N/A,N/A
W4312866853,"['neural-network framework', 'physical-theory constraints', 'feature importance ranking', 'attention-mechanism input layer']",Data-Centric AI
W3213782715,[],Other
W4239732030,"['Tensor Decompositions', 'Clustered Sampling', 'Stratified Sampling']",Data-Centric AI
W2552340832,[],Other
W3134233482,N/A,N/A
W3186139914,[],Other
W3185146084,"['acoustic impedance inversion', 'multi-attribute method', 'PNN']",Data-Centric AI
W4286850656,"['metric learning', 'genetic attribution']",Decision-Support AI
W4252807095,[],Data-Centric AI
W3152872954,"['IoT sensor analytics', 'autonomous systems']",Decision-Support AI
W3202481424,['conformal prediction'],Predictive AI
W4226126867,N/A,N/A
W3127506908,"['multivariate linear regression', 'Rainfall-induced landslide displacement prediction']",Predictive AI
W3200205345,['forecasts'],Predictive AI
W3183410800,"['machine learning', 'mathematical modeling']",Decision-Support AI
W4246265124,"['linear regression', 'time series', 'logistic regression']",Predictive AI
W4205872578,"['IoT sensor analytics', 'Network intrusion detection', 'AI for real-time monitoring']",Data-Centric AI
W4206225180,"['decision trees', 'machine learning model']",Predictive AI
W4322704676,"['sensors', 'real-time monitoring', 'ML/AI techniques']",Data-Centric AI
W3174513545,['Weather Radar Data Processing'],Data-Centric AI
W3215889052,"['Early Warning Scores (EWS)', 'Track and Trigger Systems (TTS)']",Predictive AI
W3211810886,['Dynamic Graph Convolutional Networks'],Data-Centric AI
W3151498469,"['machine learning techniques', 'bank classification']",Data-Centric AI
W3208254101,['deep learning (DL) model'],Predictive AI
W4285079838,"['IoT sensor analytics', 'Cardiac early warning prediction']",Predictive AI
W4225997949,"['magnitude classifier', 'Convolutional layers', 'LSTM units']",Predictive AI
W3198801191,"['UCluster', 'ABCnet', 'Horovod', 'TensorFlow']",Data-Centric AI
W3193374928,"['text mining', 'topic modeling']",Data-Centric AI
W4206674834,[],Other
W3203005637,"['Toxy+ risk software', 'NeuroPro neural network simulator']",Predictive AI
W3170305704,[],Other
W3210049802,"['AI for genetic improvement', 'genetic improvement', 'managing herds']",Decision-Support AI
W3211113630,"['machine learning (Random Forests)', 'PM2.5', 'spatiotemporal variability', 'citizen sensor network', 'EPA reference monitors']",Data-Centric AI
W4206247134,"['economic policy', 'technical equipment delivery', 'disaster risk reduction training']",Decision-Support AI
W4226056452,"['spatio-temporal tensor co-clustering', 'migration systems', 'domestic migration between counties in the US', 'US Internal Revenue Service data']",Data-Centric AI
W3158040911,"['Generative Adversarial Network (GAN)', 'Protein localization analysis']",Data-Centric AI
W3205130397,[],Other
W3192497224,[],Other
W4200117617,"['machine learning', 'classification tree', 'random forest']",Predictive AI
W4206339951,"['convolutional auto-encoder', 'weather radar reflectivity retrieval']",Data-Centric AI
W3133700245,"['Principal Component Analysis (PCA)', 'Adaptive Neuro Fuzzy Inference System (ANFIS)']",Decision-Support AI
W3131460203,N/A,N/A
W3186543241,[],Other
W4285470154,[],Other
W3134849325,[],Other
W3195412309,[],Data-Centric AI
W3167300242,N/A,N/A
W3136859079,"['physicochemical properties', 'data generation', 'UV visible spectroscopy']",Data-Centric AI
W4205476208,"['knowledge graph method', 'deep learning architecture']",Decision-Support AI
W3195296037,"['neural networks', 'parameterization']",Data-Centric AI
W3210672958,[],Other
W3127293181,[],Other
W3132605443,['predictive law enforcement tactics'],Predictive AI
W4246828223,['artificial intelligence and neural network technologies'],Data-Centric AI
W4200327529,"['machine learning models', 'extinction risk']",Predictive AI
W4235633864,[],Other
W3126269060,['causal machine learning methods'],Decision-Support AI
W4200399816,[],Other
W3164371829,"['machine learning', 'species distribution modeling']",Decision-Support AI
W3200581515,[],Other
W3211385807,N/A,N/A
W3120948182,N/A,N/A
W3137393872,"['big data', 'artificial intelligence']",Data-Centric AI
W3208230137,"['PRNU', 'new device fingerprint', 'image analysis techniques']",Data-Centric AI
W4292952098,"['LSTM-based', 'Support Vector Regression(SVR)']",Predictive AI
W4287250028,[],Other
W4300862270,"['molecular dynamics (MD) simulations', 'Deep-Potential (DP) framework', 'three-body embedding descriptor']",Predictive AI
W4292937787,[],Other
W4206203332,N/A,N/A
W3169000481,N/A,N/A
W3121829986,"['BP neural network', 'future SST', 'IPM-FFHS Model']",Predictive AI
W3158846379,[],Other
W3198353113,['IoT sensor analytics'],Data-Centric AI
W4233796063,"['genomic data', 'machine learning']",Decision-Support AI
W4286379583,"['time-series forecasting', 'internet search index', 'Pearson correlation coefficient', 'Johansen cointegration', 'Granger causality']",Predictive AI
W3174093510,"['neural networks', 'Multiple linear regression method', 'Multidimensional optimal interpolation method']",Data-Centric AI
W4389608734,['machine learning'],Decision-Support AI
W3203024029,N/A,N/A
W4205529151,N/A,N/A
W3176124990,N/A,N/A
W3155352575,['machine learning'],Predictive AI
W3209813368,"['IoT sensor analytics', 'Satellite imagery preprocessing', 'Image Processing']",Data-Centric AI
W3208308830,N/A,N/A
W3174315986,N/A,N/A
W4297826013,[],Other
W4210549953,"{'Data_Centric_AI': {'Label': 'AI for Data Enhancement & Monitoring', 'Definition': 'Tools that improve data quality, automate collection/processing, or enable real-time monitoring.', 'Subcategories': {'Data Generation': ['Synthetic data creation (GANs, diffusion models)'], 'Data Cleaning': ['Anomaly detection (autoencoder-based)'], 'Monitoring Systems': ['IoT sensor analytics (LSTM-based)']}, 'Examples': ['Satellite imagery preprocessing with CNNs', 'Diffusion-based satellite data synthesis']}, 'Predictive_AI': {'Label': 'AI for Forecasting & Pattern Recognition', 'Definition': 'Models that predict future states or classify patterns in structured/unstructured data.', 'Subcategories': {'Time-Series Forecasting': ['Weather prediction (Transformer-based)'], 'Classification': ['CNNs for animal identification']}, 'Examples': ['CNN for species identification', 'Transformer-XL for electricity demand forecasting']}, 'Decision_Support_AI': {'Label': 'AI for Actionable Insights & Automation in sustainability science', 'Definition': 'Systems that recommend or automate decisions based on data analysis.', 'Subcategories': {'AI for biodiversity managers': ['Habitat restoration planning'], 'AI for policy advising': ['Carbon credit allocation systems']}, 'Examples': ['LLM-powered environmental policy analysis', 'Reinforcement learning for reforestation planning']}}",AI_Typology
W3165181017,N/A,N/A
W3163993720,N/A,N/A
W3129468156,N/A,N/A
W3153889096,"{'Label': 'AI for Actionable Insights & Automation in sustainability science', 'Definition': 'Systems that recommend or automate decisions based on data analysis.', 'Subcategories': {'Policy Advising Systems': ['Evaluating intervention effectiveness'], 'Environmental Interventions Analysis': ['Sunscreen and shade impact']}, 'Examples': []}",Decision-Support AI
W4210385998,N/A,N/A
W3177098755,N/A,N/A
W3164822912,N/A,N/A
W3192427919,N/A,N/A
W4200497637,N/A,N/A
W3126991958,N/A,N/A
W4251674419,N/A,N/A
W3173646917,N/A,N/A
W4283167873,['1D CNN'],Data-Centric AI
W4293661332,"['deep learning model', 'graph convolutional neural network', 'batch normalization', 'attention mechanism', 'graph neural network']",Predictive AI
W4205551451,[],Other
W4298000570,[],Other
W4206741019,['neural network'],Predictive AI
W4297199138,['machine learning'],Other
W4281631942,"['Levenshtein distance', 'machine learning algorithm']",Data-Centric AI
W4309632361,"['machine learning algorithms', 'Random Forest', 'vibration prediction', 'early warning']",Predictive AI
W4281398005,['ANN'],Predictive AI
W4303021508,"['GANs', 'IoT sensor analytics (LSTM-based)', 'Synthetic data creation (GANs, diffusion models)']",Data-Centric AI
W4294905043,"['machine learning methods', 'procedural instructions', 'road trip planning', 'mortgage decision']",Decision-Support AI
W4284881064,"['LSTM', 'peak ground acceleration']",Predictive AI
W4283207250,[],Other
W4214698958,[],Other
W4310748293,"['feedforward neural networks', 'binary classification']",Predictive AI
W4212869611,"['Artificial Neural Networks (ANNs)', 'Landslide susceptibility', 'Prediction']",Predictive AI
W4210438736,"['Neural Network (NN)', 'Sentinel-1 images', 'Mean backscatter signals', 'Standard deviation', 'Maximum and minimum values - MMD', 'Multi-Layer Perceptron (MLP)']",Data-Centric AI
W4308235957,watermarking,term
W4281478196,"['Logistic', 'BP neural network']",Predictive AI
W4293069309,"['Unsupervised pseudo-labeling', 'Change Vector Analysis']",Data-Centric AI
W4308209841,"['BP neural network', 'systemic financial risks', 'implicit debt risk', 'financing platform bank debt', 'urban investment bonds']",Predictive AI
W4308190832,"['machine learning', 'ML models']",Predictive AI
W4296078965,N/A,N/A
W4294839455,"['BPNN', 'Expert surveys', 'Risk evaluation', 'Small actual samples', 'White noise addition']",Data-Centric AI
W4281613455,"['supervised random forest', 'AUROC']",Predictive AI
W4281757241,[],Other
W4310641801,[],Decision-Support AI
W4296991393,"['machine learning', 'deep learning']",Predictive AI
W4224209498,[],Other
W4285733936,['ConvLSTM'],Predictive AI
W4291383531,['Random Forest Regression Model'],Data-Centric AI
W4306248985,['Gradient Boosted Decision Tree'],Predictive AI
W4214689841,['backpropagation artificial neural network'],Predictive AI
W4283826748,"['Deep learning', 'Systemic risk measures', 'Optimal capital allocations', 'Generative Adversarial Networks (GANs)', 'Radon-Nikodym derivative']",Decision-Support AI
W4313300198,"['Multilayer perceptron', 'Linear regression', 'Gaussian processes']",Predictive AI
W4320075095,"['PCA', 'AHP', 'BP neural network', 'routine monitoring', 'risk control', 'emergency response']",Predictive AI
W4220997423,['random forest'],Predictive AI
W4283220304,"['GAN-based', 'adversarial training', 'TrickDroid']",Decision-SUPPORT AI
W4283028462,[],Other
W4293237562,['Artificial Neural Network'],Predictive AI
W4297522396,"['Apriori algorithm', 'educational data mining']",Data-Centric AI
W4306398599,"['multilayer perceptron (MLP)', 'bidirectional long short-term memory (LSTM)']",Predictive AI
W4306803512,"['machine learning approaches', 'predictive ability']",Predictive AI
W4296063803,['predicting patient prognosis'],Predictive AI
W4295788909,"['convolutional neural network', 'enhanced image', 'seismic data processing']",Data-Centric AI
W4316672449,"['ANFIS', 'neural networks', 'fuzzy inference', 'back propagation optimization algorithm', 'least square algorithm']",Predictive AI
W4308498419,"['LSTM', 'forests']",Predictive AI
W4289947821,['BP neural network'],Predictive AI
W4224257022,"['CNN', 'Wavelet Covariance Transform']",Predictive AI
W4293510887,"['Recurrent neural network', 'Time-series forecasting', 'Mean absolute error', 'Root mean squared error']",Predictive AI
W4295074176,"['autoencoder-based', 'reconstruction error']",Data-Centric AI
W4288047525,['machine learning'],Predictive AI
W4220762389,"['Backpropagation Neural Network', 'k-Nearest Neighbor', 'Random Forest Regression']",Predictive AI
W4294691782,"['convolutional neural networks', 'image data', 'feature extraction', 'damaged area determination']",Predictive AI
W4305042384,"['deep learning bidirectional recurrent', 'univariate input model', 'multivariate input model']",Predictive AI
W4313406219,"['machine learning', 'Random Forest', 'accuracy', 'AUC value']",Predictive AI
W4313260335,"['artificial neural network', 'predictive model']",Predictive AI
W4296324477,"['time series clustering', 'emerging hot spot analysis']",Data-Centric AI
W4287219332,"['Machine Learning (ML)', 'Global Climate Models (GCMs)', 'Root-mean-square error (RMSE)', 'Taylor diagrams', 'Kling–Gupta efficiency (KGE)']",Predictive AI
W4308259002,"['cloud database', 'information collection module', 'information processing module']",Data-Centric AI
W4303699442,['LSTM neural network'],Predictive AI
W4310986242,[],Data-Centric AI
W4281747823,"['ARIMA', 'BP neural network (BPNN)', 'deep neural network (DNN)', 'empirical modal analysis method (EMD)', 'principal component analysis (PCA)']",Predictive AI
W4283027861,"['ARIMA', 'BP neural network']",Predictive AI
W4312385624,[],Other
W4293796280,['AI for Forecasting & Pattern Recognition'],Predictive AI
W4309726513,['LSTMs'],Predictive AI
W4307291243,['Graph Neural Networks'],Data-Centric AI
W4306838576,"['Recurrent Neural Network (RNN)', 'Long Short-Term Memory (LSTM)']",Predictive AI
W4284968285,"['T-S neural network model', 'credit risk early warning system', 'predict occurrence of credit risks', 'timely prevention and reduction']",Predictive AI
W4281782130,"['CNNs', 'LSTM-based', 'Sentinel-1 data time series', 'Early Warning System (EWS)', 'tree cover loss detection']",Data-Centric AI
W4376057681,"['analysis of scientific literature', 'generalization', 'systematization of the information obtained']",Decision-Support AI
W4225321588,"['artificial neural network (ANN)', 'global mean surface temperature (GMST) record', 'ocean heat content (OHC)']",Predictive AI
W4313155992,['Support Vector Machine'],Data-Centric AI
W4315607515,['neural Turing machine'],Decision-Support AI
W4284880126,"['unsupervised machine learning', 'spatiotemporal motility patterns']",Decision-Support AI
W4310183157,"['GANs', 'IoT sensor analytics (LSTM-based)', 'Synthetic data creation (GANs, diffusion models)', 'k-NN imputation', 'Anomaly detection (autoencoder-based)', 'Network intrusion detection (graph neural networks)']",Data-Centric AI
W4294326233,['neural network'],Predictive AI
W4206700637,[],Other
W4223593636,"['gravity wave parameterizations', 'artificial neural networks (ANNs)', 'machine learning', 'non-orographic gravity wave drag', 'annual cycle', 'Quasi-Biennial Oscillation (QBO)']",Data-Centric AI
W4293250871,"['Multinomial Naive Bayes (NB)', 'Linear Support Vector Classification (SVC)', 'Logistic Regression (LR)', 'Hidden Markov Models (HMM)', 'Conditional Random Fields (CRFs)', 'Bidirectional Long Short Term Memory Networks with CRF (BI-LSTM-CRF)']",Data-Centric AI
W4220997867,"['3D-CNNs', '2D-CNNs', 'machine learning models', 'deep learning strategies', 'traditional statistical learning approaches']",Predictive AI
W4294187941,"['CNN', 'convolutional neural network', 'natural disaster detection', 'image classification']",Predictive AI
W4206588758,"['ANN', 'RFR', 'KNN']",Predictive AI
W4307290447,['convolutional neural networks'],Predictive AI
W4205777768,[],Data-Centric AI
W4225849841,"['artificial neural networks (ANNs)', 'rainfall thresholds', 'landslide early warning']",Decision-Support AI
W4229083055,"['ANN models', 'multilayer linear regression', 'temperature prediction']",Predictive AI
W4292088859,"['disease onset prediction', 'spread monitoring']",Predictive AI
W4224109437,"['Artificial Neural Network (ANN)', 'Multiple Linear Regression (MLR)']",Predictive AI
W4286377446,"['convolutional neural network', 'cell segmentation', 'cell tracking']",Predictive AI
W4296106947,['LSTMs'],Predictive AI
W4307261716,[],Decision-Support AI
W4283695897,"['GamaDet', 'GamaNet', 'bioacoustics-based forest quality assessment', 'forest recording audio files', 'forest quality index']",Decision-Support AI
W4280614539,['deformable convolutional neural networks (deCNNs)'],Predictive AI
W4293661589,"['3D-convolutional neural network', '3D-convolutional long short-term memory']",Predictive AI
W4308347009,"['CNNs', 'ECG signal classification']",Predictive AI
W4308630674,"['multi-channel 1D CNNs', 'Bi-directional LSTMs']",Predictive AI
W4296823844,['ANN system'],Data-Centric AI
W4206234515,"['Graph convolutional networks', 'tactile data', 'manipulation control', 'actionable insights']",Decision-Support AI
W4220783138,"['Random Forest', 'support vector regression', 'artificial neural networks']",Predictive AI
W4283123615,"['convolutional neural networks', 'taxonomic labels']",Decision-Support AI
W4225011336,['Artificial Neural Network'],Predictive AI
W4225502299,"['convolutional neural network', 'significant wave height prediction', 'wind fields']",Predictive AI
W4312708447,[],Other
W4298004815,[],Other
W4212962269,"['IoT', 'LSTM-based']",Data-Centric AI
W4308309964,"['big data', 'AI', 'public health efforts', 'tracking and managing health status']",Decision-Support AI
W4313408622,"['Multiple Linear Regression (MLR)', 'Artificial Neural Network (ANN)', 'Discrete Wavelet Transform (DWT)', 'Wavelet Packet Transform (WPT)']",Predictive AI
W4309925695,[],Other
W4226239236,"['convolutional neural networks', 'recursive averaging method']",Predictive AI
W4293116148,[],Other
W4293036644,"['CNN', 'CMIP phase 5 and 6 models', 'SST variability prediction']",Predictive AI
W4291720110,"['regression neural network', 'sea surface temperatures']",Predictive AI
W4285086995,"['hyperspectral imaging', 'Spectral Dilated Convolution', '3-Dimensional Convolutional Neural Network']",Data-Centric AI
W4221152344,"['AI for Actionable Insights & Automation in sustainability science', 'ML-assisted hiring']",Decision-Support AI
W4214827218,"['Convolutional Neural Network (CNN)', 'classification']",Predictive AI
W4281917702,"['two-dimensional convolutional neural network', 'diagnosing']",Data-Centric AI
W4295961667,"['convolutional neural networks', 'defect classification']",Predictive AI
W4285224351,"['GANs', 'IoT sensor analytics']",Data-Centric AI
W4281738116,"['Deep learning framework', 'LSTM', 'CNN']",Predictive AI
W4213310267,"['grey prediction GM (1,1)', 'BP neural network']",Predictive AI
W4292371935,['deep learning techniques'],Predictive AI
W4220803684,"['deep learning', 'knowledge graph']",Predictive AI
W4289861407,"['artificial intelligence techniques', 'ANN', 'GEP', 'EPR']",Predictive AI
W4304587358,"['deep learning technology', 'systemic financial risks']",Predictive AI
W4298009269,"['Autoregressive Moving Average (ARIMA)', 'IBM SPSS Forecasting Model']",Predictive AI
W4212949759,"['synthetic biology', 'artificial intelligence']",Data-Centric AI
W4283771667,"['explanation modality', 'experiments', 'user reliance', 'decision outcomes']",Decision-Support AI
W4291824902,"['CNN', 'FNN']",Data-Centric AI
W4281920235,"['Partial Least Squares Structural Equation Modeling (PLS-SEM)', 'SmartPLS3']",Data-Centric AI
W4308025461,['machine learning methods'],Predictive AI
W4313244656,"['CEEMDAN', 'VMD', 'CNN', 'GRU']",Predictive AI
W4281766090,"['data mining', 'deep learning', 'image recognition', 'natural language processing', 'knowledge graph']",Data-Centric AI
W4220757746,"['Maximum likelihood classifier', 'Cellular automata-artificial neuron network (CA-ANN)']",Predictive AI
W4295031465,N/A,N/A
W4220659811,[],Other
W4292266447,[],Data-Centric AI
W4281620463,"['cycle-consistent adversarial neural networks', 'Perceiver neural networks']",Data-Centric AI
W4312113404,"['EEG analysis', 'machine learning methods', 'confound investigation']",Data-Centric AI
W4289133604,['LSTM'],Predictive AI
W4221077240,[],Decision-Support AI
W4313244373,['deep learning artificial neural network model'],Predictive AI
